Airport,POS1Lon,POS1Lat,POS13Lon,POS13Lat,POS2Lon,POS2Lat,POS3Lon,POS3Lat,POS4Lon,POS4Lat,POS5Lon,POS5Lat,POS6Lon,POS6Lat,POS7Lon,POS7Lat,POS8Lon,POS8Lat,POS9Lon,POS9Lat,POS10Lon,POS10Lat,POS11Lon,POS11Lat,POS12Lon,POS12Lat
临沧/博尚,31199559.490426295,8194238.67985285,31199559.490426295,8194238.67985285,31192692.04921398,8196516.115541756,31189350.77064814,8189949.864727548,31181739.33807516,8187269.402199878,31180254.696632408,8185392.90390471,31181925.335915327,8179492.588616643,31176356.5383056,8173725.417844602,31183595.975198247,8171712.9571980145,31186566.37184328,8178285.559046231,31194176.69065673,8180968.264921391,31195661.332099482,8182845.259230655,31193805.808735922,8188475.7839651825
义乌,33418540.453822568,7713228.798451859,33418540.453822568,7713228.798451859,33426521.654556833,7714888.892935516,33421881.732388407,7721250.991473651,33424666.131193273,7727194.678354522,33423366.37383116,7729544.566816637,33415940.93909835,7732860.589883311,33414085.415734783,7740180.359252337,33405917.103400838,7738247.417685077,33411115.01908976,7731893.223066481,33407959.738364086,7725950.749033841,33409258.381966673,7723877.281939957,33416683.81669949,7720421.356938068
丹东/浪头,33895043.53137519,6793334.184025258,33895043.53137519,6793334.184025258,33886133.45519962,6792884.997755185,33887618.096642375,6800817.424670709,33881121.53735086,6806202.194502259,33880750.65543006,6808296.107380644,33887247.21472157,6813825.790439011,33885019.695677675,6821145.404686136,33894486.65161422,6821443.743214659,33892630.01449113,6813825.790439011,33899498.56946297,6808445.015524112,33899312.571622804,6806352.030208149,33893002.01017146,6800668.405865573
乌兰察布/集宁,32667494.540350802,6702797.701654606,32667494.540350802,6702797.701654606,32668794.297712915,6708687.70469407,32656172.0610507,6708385.133471645,32648189.746556915,6713064.907515293,32644662.470150914,6713366.432219915,32634638.6344534,6710196.80092618,32622202.395631358,6712460.925393633,32620902.638269246,6706875.7646283535,32633524.874931455,6706875.7646283535,32641693.187265404,6702193.100830393,32645591.345592216,6701891.239982661,32655615.181289725,6704760.816444963
乌兰浩特/依勒力特,33658740.51488253,6242905.876708094,33658740.51488253,6242905.876708094,33652614.83751182,6247977.834263219,33643147.88157529,6242271.325853474,33630896.52683388,6242588.1311544925,33628112.12802902,6241319.892063396,33624029.085621566,6234339.9752690215,33611962.614960805,6230530.306417435,33618088.2923315,6225765.963664696,33627741.24610821,6231482.873957157,33639992.60084961,6231164.727550225,33643147.88157529,6232752.490620096,33646861.15582145,6239416.724937857
乌海,31941509.329882335,6813825.790439011,31941509.329882335,6813825.790439011,31950419.406057898,6814423.779463155,31946707.245571256,6822041.290224006,31952090.04534082,6827713.127603699,31951162.283659037,6829802.673403358,31943922.84676639,6834575.530581946,31943736.848926224,6842178.199368182,31934640.774910495,6841433.384423049,31938354.04915666,6834277.571159992,31933342.131307904,6828310.311722402,31933527.01538855,6826071.812551066,31941138.447961524,6821443.743214659
乌鲁木齐/地窝堡,29812558.003683023,6445662.515423167,29812558.003683023,6445662.515423167,29815342.402487885,6451245.11110346,29802348.170145348,6452640.245546625,29795294.731092863,6458063.505699707,29790468.81108427,6458992.948977234,29779516.099945456,6456359.599495599,29767821.624965027,6459767.105669942,29764666.344239354,6454189.533946884,29777845.460662536,6453105.244677876,29784900.01347454,6447368.347964748,29789725.93348313,6446747.657827171,29800492.646781784,6449073.87287848
二连浩特/赛乌素,32555933.704075582,6499644.217611503,32555933.704075582,6499644.217611503,32552406.42766958,6505349.695745679,32541268.83245012,6501803.9473573975,32530317.235070832,6503654.227775551,32526419.07674402,6502574.632618748,32520293.399373315,6496867.498860354,32507485.16487094,6495478.8369740695,32510640.445596613,6489768.389462916,32522148.922736883,6493626.973808955,32533101.633875694,6491774.75154572,32536999.792202502,6492547.171898039,32543125.469573207,6498255.959033004
井冈山,32844954.300020505,7926725.644195128,32844954.300020505,7926725.644195128,32846252.943623096,7931766.764065085,32835858.226004772,7931766.764065085,32828989.671032935,7936398.411768474,32826205.27222807,7936670.528384119,32817852.07581348,7933946.686668045,32808014.23795613,7935853.34642937,32806714.48059402,7930813.611691039,32817110.311971866,7930540.570509642,32823606.87126337,7926452.527870562,32826762.151989043,7925907.915645558,32834744.466482826,7928633.229806244
伊宁,29124440.616960704,6438368.54016027,29124440.616960704,6438368.54016027,29129452.534809463,6443955.444155635,29117201.18006806,6446747.657827171,29112003.26437914,6452949.937507911,29109404.863414444,6453724.588057637,29097710.388434008,6453105.244677876,29087129.672975525,6457753.980861148,29082302.639207415,6452640.245546625,29094925.989629146,6449849.770991441,29099565.911797576,6443645.45757219,29102536.3084426,6442404.478507627,29114230.783423033,6443489.995006606
伊春/林都,34443384.09809331,6089067.402998475,34443384.09809331,6089067.402998475,34440785.69712861,6095195.523997487,34427606.58070543,6091809.813890813,34416468.98548597,6094388.875610088,34412755.7112398,6093583.1207727855,34405331.39026651,6088261.161528934,34391223.39840202,6087131.525053603,34394007.797206886,6080998.758418407,34407002.02954943,6084550.3379119085,34418139.62476888,6081644.870947411,34421665.78741537,6082289.967455862,34429277.219988346,6088099.517204784
佳木斯,34593556.749475345,6163278.530564309,34593556.749475345,6163278.530564309,34600981.07044864,6167916.855567474,34589101.71138756,6172232.538969328,34586502.196663335,6179420.723355729,34584089.79353881,6180857.668275475,34572023.32287805,6181655.552206304,34562928.36262184,6187719.256893655,34555873.809809834,6183092.138940806,34567383.400709614,6178781.687829906,34569981.801674314,6171592.99020255,34572952.198319346,6170154.557576161,34585017.55522059,6169355.648086174
保山,31092081.696558528,8091145.921695169,31092081.696558528,8091145.921695169,31084657.37558524,8090067.462003507,31088555.533912048,8083593.55545766,31084471.377745073,8077791.510532128,31085028.257506043,8076307.2654049145,31091896.812477887,8072257.882385231,31092638.5763195,8065101.71232094,31100434.892973125,8066451.691653999,31096536.734646313,8072932.581357729,31100250.00889248,8078196.354205787,31100064.011052314,8080220.417973872,31093195.456080474,8084267.773507813
